國文,英文,數學,社會,自然
14,10,9,14,7
15,11,14,12,9
10,15,10,7,13
6,13,7,7,10
9,7,12,11,8
10,12,7,6,9
14,6,7,14,13
7,14,10,10,10
13,10,7,7,11
15,10,13,14,10
15,12,14,12,7
8,13,14,11,13
11,10,13,11,6
10,14,15,13,7
9,8,10,6,9
15,15,15,6,14
13,15,10,14,10
13,10,7,8,11
10,11,14,10,7
13,9,12,15,10
9,13,14,9,8
14,13,8,13,15
10,13,12,11,7
6,15,6,14,15
13,13,7,13,7
11,13,12,10,12
11,13,15,11,9
15,7,6,14,9
11,10,6,10,11
6,7,9,11,14
8,10,12,12,12
13,6,7,13,12
11,6,10,10,7
9,12,6,10,8
11,15,14,7,10
6,8,6,11,7
8,7,14,9,10
9,8,12,11,9
7,9,14,6,15
12,15,12,14,6
6,8,7,12,10
7,11,7,7,6
13,7,6,10,6
9,8,15,11,13
6,7,14,10,12
7,13,10,10,7
8,7,10,11,10
14,7,12,15,13
9,9,10,7,11
15,6,10,13,8
8,9,14,8,15
7,12,11,13,12
12,15,6,15,9
10,14,6,15,11
7,13,15,7,7
12,10,6,7,8
13,14,11,12,7
13,9,12,6,11
8,8,6,14,13
12,12,8,11,12
8,7,10,15,9
11,8,15,8,9
9,14,6,15,11
14,7,15,7,7
10,12,14,12,13
14,9,12,15,12
8,13,13,15,8
12,9,10,12,14
8,6,15,9,6
8,9,10,15,9
14,7,10,13,8
8,12,11,11,9
7,10,15,7,7
8,6,6,9,7
12,11,10,13,11
11,14,15,12,14
12,10,15,14,7
15,9,9,10,8
11,8,6,6,15
8,7,7,8,15
7,14,6,6,14
14,14,10,6,13
10,14,10,15,10
6,8,7,8,13
6,8,6,15,9
9,15,12,6,11
10,11,8,7,15
6,7,12,15,8
15,8,13,12,13
6,10,8,15,7
8,8,11,15,12
7,10,15,10,12
13,10,9,7,10
7,11,6,7,9
14,14,6,6,9
10,15,9,8,9
6,11,14,11,13
9,11,10,11,8
6,8,13,6,14
6,14,10,10,15
